id,email,firstName,lastName,country_code,createOn,deliveryDate,orderStatus_code,imageURL,imageType
a1b2c3d4-e5f6-7890-1234-567890abcdef,john.doe@example.com,John,Doe,US,2024-05-01,2024-05-07,Closed,,
b2c3d4e5-f6a7-8901-2345-67890abcdef0,jane.smith@example.com,Jane,Smith,CA,2024-05-02,2024-05-08,Open,,
c3d4e5f6-a7b8-9012-3456-7890abcdef12,peter.jones@example.com,Peter,Jones,GB,2024-05-03,2024-05-09,Closed,,
d4e5f6a7-b8c9-0123-4567-890abcdef234,alice.wong@example.com,Alice,Wong,AU,2024-05-04,2024-05-10,Open,,
e5f6a7b8-c9d0-1234-5678-90abcdef3456,bob.brown@example.com,Bob,Brown,DE,2024-05-05,2024-05-11,Closed,,
f6a7b8c9-d0e1-2345-6789-0abcdef45678,charlie.davis@example.com,Charlie,Davis,FR,2024-05-06,2024-05-12,Open,,
a7b8c9d0-e1f2-3456-7890-abcdef567890,diana.miller@example.com,Diana,Miller,ES,2024-05-07,2024-05-13,Closed,,
b8c9d0e1-f2a3-4567-8901-234567890abc,eve.white@example.com,Eve,White,IT,2024-05-08,2024-05-14,Open,,
c9d0e1f2-a3b4-5678-9012-34567890abcd,frank.green@example.com,Frank,Green,JP,2024-05-09,2024-05-15,Closed,,
d0e1f2a3-b4c5-6789-0123-4567890abcde,grace.black@example.com,Grace,Black,CN,2024-05-10,2024-05-16,Open,,
